"_id","time_local","remote_addr","request_method","http_user_agent","request_uri","http_referer","status","request_time","body_bytes_sent","score","model_version","user_agent_os","user_agent_browser","user_agent_device","request_uri_length","class"
"666411e86056afecee60f7bd","08/Jun/2024:08:10:16 +0000","172.20.0.1","PUT","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/119.0.2151.105 Version/17.0 Mobile/15E148 Safari/604.1","/status/404","-",404.0,0.002,0.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411e86056afecee60f7be","08/Jun/2024:08:10:16 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/status/400","-",400.0,0.002,0.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411e86056afecee60f7bf","08/Jun/2024:08:10:16 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36","/delete","-",200.0,0.004,442.0,-1.0,0.0,"Android","Chrome Mobile","K","",0
"666411e86056afecee60f7c0","08/Jun/2024:08:10:16 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/status/403","-",403.0,0.002,0.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411ea6056afecee60f7c1","08/Jun/2024:08:10:18 +0000","172.20.0.1","PUT","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1 RDDocuments/8.4.8.940","/delay/2","-",200.0,2.003,472.0,-1.0,0.0,"iOS","Mobile Safari","iPhone","",0
"666411ea6056afecee60f7c2","08/Jun/2024:08:10:18 +0000","172.20.0.1","PUT","Mozilla/5.0 (iPad; CPU OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/605.1.15","/status/403","-",403.0,0.003,0.0,-1.0,0.0,"iOS","Mobile Safari","iPad","",0
"666411ea6056afecee60f7c3","08/Jun/2024:08:10:18 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36","/delay/0","-",200.0,0.004,426.0,-1.0,0.0,"Android","Chrome Mobile","K","",0
"666411ea6056afecee60f7c4","08/Jun/2024:08:10:18 +0000","172.20.0.1","POST","Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/120.0.2210.126 Version/17.0 Mobile/15E148 Safari/604.1","/post","-",200.0,0.004,486.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411eb6056afecee60f7c5","08/Jun/2024:08:10:19 +0000","172.20.0.1","GET","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15","/delay/1","-",200.0,1.004,404.0,-1.0,0.0,"Mac OS X","Safari","Mac","",0
"666411eb6056afecee60f7c6","08/Jun/2024:08:10:19 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/status/500","-",500.0,0.002,0.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411eb6056afecee60f7c7","08/Jun/2024:08:10:19 +0000","172.20.0.1","PATCH","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/120.0.2210.86 Version/17.0 Mobile/15E148 Safari/604.1","/patch","-",200.0,0.003,486.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411eb6056afecee60f7c8","08/Jun/2024:08:10:19 +0000","172.20.0.1","POST","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/116.0.1938.79 Version/17.0 Mobile/15E148 Safari/604.1","/status/500","-",500.0,0.001,0.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411ed6056afecee60f7c9","08/Jun/2024:08:10:21 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 Trailer/93.3.3695.30","/delay/2","-",200.0,2.003,461.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411ed6056afecee60f7ca","08/Jun/2024:08:10:21 +0000","172.20.0.1","GET","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/get","-",200.0,0.004,362.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411ed6056afecee60f7cb","08/Jun/2024:08:10:21 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/status/404","-",404.0,0.002,0.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411ee6056afecee60f7cc","08/Jun/2024:08:10:22 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","/delay/1","-",200.0,1.004,395.0,-1.0,0.0,"Windows","Firefox","Other","",0
"666411ee6056afecee60f7cd","08/Jun/2024:08:10:22 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0 Config/91.2.2121.13","/status/200","-",200.0,0.003,0.0,-1.0,0.0,"Windows","Firefox","Other","",0
"666411f06056afecee60f7ce","08/Jun/2024:08:10:24 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/delay/2","-",200.0,2.004,426.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411f06056afecee60f7cf","08/Jun/2024:08:10:24 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delay/0","-",200.0,0.004,440.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411f06056afecee60f7d0","08/Jun/2024:08:10:24 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/status/204","-",204.0,0.002,0.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411f06056afecee60f7d1","08/Jun/2024:08:10:24 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36","/patch","-",200.0,0.002,441.0,-1.0,0.0,"Android","Chrome Mobile","K","",0
"666411f26056afecee60f7d2","08/Jun/2024:08:10:26 +0000","172.20.0.1","POST","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36","/delay/2","-",200.0,2.004,426.0,-1.0,0.0,"Android","Chrome Mobile","K","",0
"666411f26056afecee60f7d3","08/Jun/2024:08:10:26 +0000","172.20.0.1","GET","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/status/500","-",500.0,0.002,0.0,-1.0,0.0,"Windows","Chrome","Other","",0
